FileName,Area,BoundingBoxArea,ConvexArea,Eccentricity,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,MaxIntensity,MinIntensity,MeanIntensity,Perimeter,filled_area,solidity,Porosity,Permeability
BB (634).jpg,740.3125,5898.625,4775.5625,0.800837817,44.28010986,20.99362276,70.48474876,41.14949689,204.25,91.625,158.6185564,328.9133002,2961.25,0.721109184,0.257,11.3
ALB (570).jpeg,623.0921053,6385.684211,4994.736842,0.776125805,38.72240675,9.830331557,67.80222574,39.30856596,176.8421053,125.8947368,156.9647463,276.3994454,2502.052632,0.721139234,0.208,10.23
ALB (67).jpeg,623.0921053,6385.684211,4994.736842,0.776125805,38.72240675,9.830331557,67.80222574,39.30856596,176.8421053,125.8947368,156.9647463,276.3994454,2502.052632,0.721139234,0.208,10.23
TC (237).jpeg,1089.386364,10756,8252.090909,0.770691197,54.94727362,26.2100719,101.7425427,51.08537736,195.4545455,104.8181818,158.2760967,362.4763674,4377.636364,0.721167408,0.256,336.94
TC (1088).jpeg,1324.305556,11771.44444,10106.66667,0.759221309,67.17056631,-9.533401155,101.8807912,64.99445381,207.1111111,94.55555556,158.0661639,502.351547,5469.888889,0.721208528,0.256,336.94
ALB (187).jpeg,1721.285714,15165.28571,11973.71429,0.718196649,73.72214596,-20.21644825,106.2090238,68.06697972,180.5714286,96.28571429,149.1640919,482.2806893,6924,0.721232457,0.208,10.23
ALB (690).jpeg,1721.285714,15165.28571,11973.71429,0.718196649,73.72214596,-20.21644825,106.2090238,68.06697972,180.5714286,96.28571429,149.1640919,482.2806893,6924,0.721232457,0.208,10.23
ALB (1791).jpeg,1491.3125,11883.625,9252.125,0.771736602,73.04256159,18.56594797,112.9699781,69.08714905,115.25,76.625,104.3403324,558.8822959,6019.375,0.721267219,0.208,10.23
ALB (203).jpeg,1720.5,13626.42857,9462.857143,0.800106564,78.08865594,15.2990452,114.8506196,67.11379375,184.4285714,92,145.7944894,493.4303646,6884.571429,0.721308211,0.208,10.23
ALB (706).jpeg,1720.5,13626.42857,9462.857143,0.800106564,78.08865594,15.2990452,114.8506196,67.11379375,184.4285714,92,145.7944894,493.4303646,6884.571429,0.721308211,0.208,10.23
TC (501).jpeg,512.9347826,4006.73913,2951.173913,0.797794558,35.18110539,-0.080432565,54.65841767,30.05297864,206.5652174,96.82608696,160.1428019,244.5347887,2070.608696,0.721348965,0.256,336.94
ALB (1216).jpeg,1186.85,9963.7,7884.2,0.724527343,64.88727836,-11.76054179,99.08417886,65.36988332,148.5,104.5,134.0109162,504.4451332,4830.3,0.721359966,0.208,10.23
ALB (1225).jpeg,1327.027778,9766,8246.666667,0.693394809,65.93404531,11.18308307,101.6886138,61.60510649,150.3333333,106.6666667,136.9018892,483.3870809,5322.888889,0.721373968,0.208,10.23
ALB (1344).jpeg,448.0192308,3965.346154,3241.730769,0.746435466,35.34678831,-9.397321619,53.16784158,34.32918139,147.0384615,118.6538462,136.8532835,272.3962466,1852.230769,0.721377806,0.208,10.23
SD (374).jpeg,1497.59375,13986,11851.875,0.737506191,63.615747,-2.208048997,110.5846239,80.15889845,145.625,81.25,126.5263056,501.9929471,6864.5,0.721383561,0.158,278.85
ALB (1345).jpeg,415.125,3597.714286,2921.357143,0.746542418,34.9377979,15.12711739,51.86405301,33.92023298,147.0357143,118.8571429,136.9577444,260.0871249,1660.5,0.721395175,0.208,10.23
SD (415).jpeg,1334.222222,12667.22222,9136.777778,0.7089325,67.31987833,-9.593302234,109.1801639,64.34888717,148.6666667,80.66666667,130.3688979,423.0206908,5364.111111,0.721411558,0.158,278.85
